isolate,species,oogonium.width,oospore.width
ICMP 19436,P. castaneae,24.75,19.8
ICMP 19436,P. castaneae,22.275,17.325
ICMP 19436,P. castaneae,24.75,17.325
ICMP 19436,P. castaneae,22.275,19.8
ICMP 19436,P. castaneae,34.65,24.75
ICMP 19436,P. castaneae,24.75,19.8
ICMP 19436,P. castaneae,24.75,19.8
ICMP 19436,P. castaneae,24.75,19.8
ICMP 19436,P. castaneae,22.275,14.85
ICMP 19436,P. castaneae,24.75,17.325
ICMP 19436,P. castaneae,24.75,17.325
ICMP 19436,P. castaneae,29.7,24.75
ICMP 19436,P. castaneae,24.75,14.85
ICMP 19436,P. castaneae,22.275,14.85
ICMP 19436,P. castaneae,34.65,24.75
ICMP 19436,P. castaneae,34.65,29.7
ICMP 19436,P. castaneae,19.8,12.375
ICMP 19437,P. castaneae,24.75,19.8
ICMP 19437,P. castaneae,24.75,17.325
ICMP 19437,P. castaneae,24.75,17.325
ICMP 19437,P. castaneae,24.75,17.325
ICMP 19437,P. castaneae,24.75,14.85
ICMP 19437,P. castaneae,27.225,19.8
ICMP 19437,P. castaneae,27.225,19.8
ICMP 19437,P. castaneae,24.75,19.8
ICMP 19437,P. castaneae,22.275,17.325
ICMP 19437,P. castaneae,24.75,19.8
ICMP 19437,P. castaneae,22.275,17.325
ICMP 19437,P. castaneae,24.75,17.325
ICMP 19437,P. castaneae,29.7,19.8
ICMP 19437,P. castaneae,22.275,17.325
ICMP 19437,P. castaneae,24.75,17.325
ICMP 19437,P. castaneae,19.8,14.85
ICMP 19437,P. castaneae,27.225,19.8
ICMP 19437,P. castaneae,24.75,19.8
ICMP 19437,P. castaneae,24.75,19.8
ICMP 19437,P. castaneae,27.225,19.8
ICMP 19450,P. castaneae,27.225,19.8
ICMP 19450,P. castaneae,24.75,19.8
ICMP 19450,P. castaneae,24.75,19.8
ICMP 19450,P. castaneae,24.75,17.325
ICMP 19450,P. castaneae,27.225,17.325
ICMP 19450,P. castaneae,29.7,22.275
ICMP 19450,P. castaneae,29.7,22.275
ICMP 19450,P. castaneae,27.225,19.8
ICMP 19450,P. castaneae,24.75,17.325
ICMP 19450,P. castaneae,29.7,19.8
ICMP 19450,P. castaneae,29.7,22.275
ICMP 19450,P. castaneae,29.7,19.8
ICMP 19450,P. castaneae,29.7,22.275
ICMP 19450,P. castaneae,24.75,19.8
ICMP 19450,P. castaneae,24.75,19.8
ICMP 19450,P. castaneae,27.225,19.8
ICMP 19450,P. castaneae,29.7,24.75
ICMP 19450,P. castaneae,24.75,19.8
ICMP 19450,P. castaneae,29.7,19.8
ICMP 19450,P. castaneae,29.7,24.75
ICMP 19451,P. heveae,29.7,19.8
ICMP 19451,P. heveae,29.7,24.75
ICMP 19451,P. heveae,32.175,24.75
ICMP 19451,P. heveae,29.7,22.275
ICMP 19451,P. heveae,29.7,24.75
ICMP 19451,P. heveae,32.175,27.225
ICMP 19451,P. heveae,29.7,24.75
ICMP 19451,P. heveae,29.7,24.75
ICMP 19451,P. heveae,29.7,24.75
ICMP 19451,P. heveae,32.175,27.225
ICMP 19451,P. heveae,29.7,24.75
ICMP 19451,P. heveae,24.75,19.8
ICMP 19451,P. heveae,24.75,19.8
ICMP 19451,P. heveae,32.175,27.225
ICMP 19451,P. heveae,32.175,27.225
ICMP 19451,P. heveae,32.175,27.225
ICMP 19451,P. heveae,29.7,19.8
ICMP 19451,P. heveae,32.175,27.225
ICMP 19451,P. heveae,29.7,22.275
ICMP 19451,P. heveae,32.175,24.75
ICMP 19452,P. heveae,29.7,24.75
ICMP 19452,P. heveae,42.075,29.7
ICMP 19452,P. heveae,24.75,19.8
ICMP 19452,P. heveae,27.23,22.23
ICMP 19452,P. heveae,34.65,32.175
ICMP 19452,P. heveae,29.7,19.8
ICMP 19452,P. heveae,24.75,19.8
ICMP 19452,P. heveae,44.5,34.65
ICMP 19452,P. heveae,29.7,24.75
ICMP 19452,P. heveae,39.6,29.7
ICMP 19452,P. heveae,29.7,19.8
ICMP 19452,P. heveae,29.7,24.75
ICMP 19452,P. heveae,34.65,27.23
ICMP 19452,P. heveae,27.23,19.8
ICMP 19452,P. heveae,32.175,24.75
ICMP 19452,P. heveae,27.23,19.8
ICMP 19452,P. heveae,24.75,19.8
ICMP 19452,P. heveae,29.7,22.23
ICMP 19452,P. heveae,29.7,22.23
ICMP 19452,P. heveae,24.75,19.8
ICMP 19453,P. heveae,19.8,17.325
ICMP 19453,P. heveae,22.275,19.8
ICMP 19453,P. heveae,24.75,22.275
ICMP 19453,P. heveae,24.75,19.8
ICMP 19453,P. heveae,19.8,17.325
ICMP 19453,P. heveae,22.275,19.8
ICMP 19453,P. heveae,29.7,24.75
ICMP 19453,P. heveae,29.7,22.275
ICMP 19453,P. heveae,27.225,22.275
ICMP 19453,P. heveae,24.75,19.8
ICMP 19453,P. heveae,27.225,22.275
ICMP 19453,P. heveae,29.7,24.75
ICMP 19453,P. heveae,24.75,19.8
ICMP 19453,P. heveae,24.75,19.8
ICMP 19453,P. heveae,24.75,17.325
ICMP 19453,P. heveae,24.75,19.8
ICMP 19453,P. heveae,24.75,19.8
ICMP 19453,P. heveae,27.225,19.8
ICMP 19453,P. heveae,24.75,19.8
ICMP 19453,P. heveae,24.75,19.8
ICMP 16691,P. heveae,27.225,24.75
ICMP 16691,P. heveae,24.75,22.275
ICMP 16691,P. heveae,29.7,24.75
ICMP 16691,P. heveae,27.225,22.275
ICMP 16691,P. heveae,30.875,27.225
ICMP 16691,P. heveae,29.7,24.75
ICMP 16691,P. heveae,27.225,24.75
ICMP 16691,P. heveae,22.275,22.275
ICMP 16691,P. heveae,27.225,22.275
ICMP 16691,P. heveae,29.7,24.75
ICMP 16691,P. heveae,29.7,24.75
ICMP 16691,P. heveae,24.75,22.275
ICMP 16691,P. heveae,27.225,24.75
ICMP 16691,P. heveae,27.225,22.275
ICMP 16691,P. heveae,27.225,22.275
ICMP 16691,P. heveae,29.7,24.75
ICMP 16691,P. heveae,27.225,24.75
ICMP 16691,P. heveae,27.225,22.275
ICMP 16691,P. heveae,29.7,27.225
ICMP 16691,P. heveae,27.225,22.275
ICMP 16948,P. cocois,22.275,19.8
ICMP 16948,P. cocois,27.225,24.75
ICMP 16948,P. cocois,24.75,24.75
ICMP 16948,P. cocois,24.75,24.75
ICMP 16948,P. cocois,24.75,24.75
ICMP 16948,P. cocois,24.75,22.275
ICMP 16948,P. cocois,24.75,22.275
ICMP 16948,P. cocois,22.275,21.03
ICMP 16948,P. cocois,22.275,21.03
ICMP 16948,P. cocois,29.7,24.75
ICMP 16948,P. cocois,24.75,22.275
ICMP 16948,P. cocois,27.225,24.75
ICMP 16948,P. cocois,22.275,22.275
ICMP 16948,P. cocois,27.225,24.75
ICMP 16948,P. cocois,24.75,22.275
ICMP 16948,P. cocois,24.75,22.275
ICMP 16948,P. cocois,24.75,24.75
ICMP 16948,P. cocois,24.75,22.275
ICMP 16948,P. cocois,24.75,22.275
ICMP 16948,P. cocois,24.75,22.275
ICMP 16949,P. cocois,27.225,24.75
ICMP 16949,P. cocois,29.7,27.225
ICMP 16949,P. cocois,24.75,22.275
ICMP 16949,P. cocois,24.75,22.275
ICMP 16949,P. cocois,24.75,22.275
ICMP 16949,P. cocois,29.7,29.7
ICMP 16949,P. cocois,24.75,22.275
ICMP 16949,P. cocois,27.225,24.75
ICMP 16949,P. cocois,34.65,24.75
ICMP 16949,P. cocois,27.225,24.75
ICMP 16949,P. cocois,29.7,27.225
ICMP 16949,P. cocois,24.75,22.275
ICMP 16949,P. cocois,34.65,27.225
ICMP 16949,P. cocois,24.75,22.275
ICMP 16949,P. cocois,24.75,22.275
ICMP 16949,P. cocois,29.7,24.75
ICMP 16949,P. cocois,22.275,19.8
ICMP 16949,P. cocois,30.875,27.75
ICMP 16949,P. cocois,29.7,24.75
ICMP 16949,P. cocois,24.75,22.275
ICMP 17027,P. agathidicida,29.7,24.75
ICMP 17027,P. agathidicida,29.7,24.75
ICMP 17027,P. agathidicida,29.7,24.75
ICMP 17027,P. agathidicida,29.7,24.75
ICMP 17027,P. agathidicida,34.65,29.7
ICMP 17027,P. agathidicida,29.7,24.75
ICMP 17027,P. agathidicida,34.65,29.7
ICMP 17027,P. agathidicida,29.7,24.75
ICMP 17027,P. agathidicida,29.7,22.275
ICMP 17027,P. agathidicida,34.65,29.7
ICMP 17027,P. agathidicida,34.65,29.7
ICMP 17027,P. agathidicida,29.7,24.75
ICMP 17027,P. agathidicida,34.65,24.75
ICMP 17027,P. agathidicida,30.875,27.225
ICMP 17027,P. agathidicida,27.225,24.75
ICMP 17027,P. agathidicida,30.875,27.225
ICMP 17027,P. agathidicida,34.65,29.7
ICMP 17027,P. agathidicida,29.7,27.225
ICMP 17027,P. agathidicida,30.875,27.225
ICMP 17027,P. agathidicida,34.65,29.7
ICMP 18358,P. agathidicida,34.65,30.875
ICMP 18358,P. agathidicida,34.65,29.7
ICMP 18358,P. agathidicida,34.65,29.7
ICMP 18358,P. agathidicida,30.875,27.225
ICMP 18358,P. agathidicida,30.875,27.225
ICMP 18358,P. agathidicida,30.875,27.225
ICMP 18358,P. agathidicida,30.875,29.7
ICMP 18358,P. agathidicida,44.55,34.65
ICMP 18358,P. agathidicida,24.75,24.75
ICMP 18358,P. agathidicida,34.65,29.7
ICMP 18358,P. agathidicida,29.7,27.225
ICMP 18358,P. agathidicida,38,34.65
ICMP 18358,P. agathidicida,44.55,34.65
ICMP 18358,P. agathidicida,38,34.65
ICMP 18358,P. agathidicida,34.65,29.7
ICMP 18358,P. agathidicida,34.65,29.7
ICMP 18358,P. agathidicida,34.65,29.7
ICMP 18358,P. agathidicida,34.65,29.7
ICMP 18358,P. agathidicida,34.65,29.7
ICMP 18358,P. agathidicida,38,34.65
ICMP 18360,P. agathidicida,29.7,24.75
ICMP 18360,P. agathidicida,29.7,24.75
ICMP 18360,P. agathidicida,32.65,29.7
ICMP 18360,P. agathidicida,32.65,29.7
ICMP 18360,P. agathidicida,32.2,27.23
ICMP 18360,P. agathidicida,32.65,29.7
ICMP 18360,P. agathidicida,32.65,29.7
ICMP 18360,P. agathidicida,32.2,27.23
ICMP 18360,P. agathidicida,27.23,24.75
ICMP 18360,P. agathidicida,32.65,29.7
ICMP 18360,P. agathidicida,37.13,29.7
ICMP 18360,P. agathidicida,29.7,24.75
ICMP 18360,P. agathidicida,32.2,27.23
ICMP 18360,P. agathidicida,29.7,24.75
ICMP 18360,P. agathidicida,32.2,24.75
ICMP 18360,P. agathidicida,29.7,24.75
ICMP 18360,P. agathidicida,29.7,24.75
ICMP 18360,P. agathidicida,37.13,29.7
ICMP 18360,P. agathidicida,29.7,24.75
ICMP 18360,P. agathidicida,29.7,24.75
ICMP 18401,P. agathidicida,32.65,32.2
ICMP 18401,P. agathidicida,32.2,27.23
ICMP 18401,P. agathidicida,32.65,32.2
ICMP 18401,P. agathidicida,32.65,32.2
ICMP 18401,P. agathidicida,32.2,29.7
ICMP 18401,P. agathidicida,32.65,29.7
ICMP 18401,P. agathidicida,30.9,27.23
ICMP 18401,P. agathidicida,33.41,29.7
ICMP 18401,P. agathidicida,29.7,24.75
ICMP 18401,P. agathidicida,29.7,27.23
ICMP 18401,P. agathidicida,27.23,24.75
ICMP 18401,P. agathidicida,27.23,24.75
ICMP 18401,P. agathidicida,32.2,27.23
ICMP 18401,P. agathidicida,29.7,27.23
ICMP 18401,P. agathidicida,32.65,29.7
ICMP 18401,P. agathidicida,29.7,27.23
ICMP 18401,P. agathidicida,32.2,27.23
ICMP 18401,P. agathidicida,29.7,27.23
ICMP 18401,P. agathidicida,32.2,29.7
ICMP 18401,P. agathidicida,24.75,22.275
ICMP 18404,P. agathidicida,29.7,27.23
ICMP 18404,P. agathidicida,29.7,27.23
ICMP 18404,P. agathidicida,27.23,24.75
ICMP 18404,P. agathidicida,29.7,27.23
ICMP 18404,P. agathidicida,29.7,27.23
ICMP 18404,P. agathidicida,29.7,27.23
ICMP 18404,P. agathidicida,29.7,27.23
ICMP 18404,P. agathidicida,32.65,29.7
ICMP 18404,P. agathidicida,32.65,29.7
ICMP 18404,P. agathidicida,29.7,27.23
ICMP 18404,P. agathidicida,29.7,27.23
ICMP 18404,P. agathidicida,29.7,27.23
ICMP 18404,P. agathidicida,32.65,29.7
ICMP 18404,P. agathidicida,32.65,29.7
ICMP 18404,P. agathidicida,32.2,29.7
ICMP 18404,P. agathidicida,32.2,29.7
ICMP 18404,P. agathidicida,32.65,32.2
ICMP 18404,P. agathidicida,29.7,32.2
ICMP 18404,P. agathidicida,29.7,24.75
ICMP 18404,P. agathidicida,32.65,29.7
ICMP 18406,P. agathidicida,29.7,27.23
ICMP 18406,P. agathidicida,32.2,27.23
ICMP 18406,P. agathidicida,32.2,24.75
ICMP 18406,P. agathidicida,29.7,24.75
ICMP 18406,P. agathidicida,29.7,27.23
ICMP 18406,P. agathidicida,29.7,27.23
ICMP 18406,P. agathidicida,29.7,27.23
ICMP 18406,P. agathidicida,29.7,24.75
ICMP 18406,P. agathidicida,29.7,24.75
ICMP 18406,P. agathidicida,29.7,27.23
ICMP 18406,P. agathidicida,24.75,22.275
ICMP 18406,P. agathidicida,29.7,27.23
ICMP 18406,P. agathidicida,29.7,27.23
ICMP 18406,P. agathidicida,32.2,27.23
ICMP 18406,P. agathidicida,32.65,29.7
ICMP 18406,P. agathidicida,32.65,29.7
ICMP 18406,P. agathidicida,32.65,29.7
ICMP 18406,P. agathidicida,37.13,32.2
ICMP 18406,P. agathidicida,29.7,24.75
ICMP 18406,P. agathidicida,32.2,27.23
ICMP 18407,P. agathidicida,32.65,29.7
ICMP 18407,P. agathidicida,32.65,29.7
ICMP 18407,P. agathidicida,37.13,29.7
ICMP 18407,P. agathidicida,32.65,27.23
ICMP 18407,P. agathidicida,32.65,29.7
ICMP 18407,P. agathidicida,29.7,24.75
ICMP 18407,P. agathidicida,32.65,29.7
ICMP 18407,P. agathidicida,29.7,22.275
ICMP 18407,P. agathidicida,37.13,32.2
ICMP 18407,P. agathidicida,32.2,27.23
ICMP 18407,P. agathidicida,29.7,24.75
ICMP 18407,P. agathidicida,32.2,24.75
ICMP 18407,P. agathidicida,32.65,27.23
ICMP 18407,P. agathidicida,29.7,24.75
ICMP 18407,P. agathidicida,29.7,24.75
ICMP 18407,P. agathidicida,32.65,27.23
ICMP 18407,P. agathidicida,32.2,27.23
ICMP 18407,P. agathidicida,29.7,24.75
ICMP 18407,P. agathidicida,32.2,27.23
ICMP 18407,P. agathidicida,32.2,24.75
ICMP 18408,P. agathidicida,32.2,24.75
ICMP 18408,P. agathidicida,29.7,24.75
ICMP 18408,P. agathidicida,29.7,27.23
ICMP 18408,P. agathidicida,32.2,24.75
ICMP 18408,P. agathidicida,32.65,29.7
ICMP 18408,P. agathidicida,29.7,24.75
ICMP 18408,P. agathidicida,32.2,24.75
ICMP 18408,P. agathidicida,32.2,24.75
ICMP 18408,P. agathidicida,32.2,27.23
ICMP 18408,P. agathidicida,32.65,24.75
ICMP 18408,P. agathidicida,29.7,24.75
ICMP 18408,P. agathidicida,27.23,22.275
ICMP 18408,P. agathidicida,27.23,22.275
ICMP 18408,P. agathidicida,29.7,24.75
ICMP 18408,P. agathidicida,24.75,19.8
ICMP 18408,P. agathidicida,37.13,29.7
ICMP 18408,P. agathidicida,32.2,24.75
ICMP 18408,P. agathidicida,32.65,27.23
ICMP 18408,P. agathidicida,32.65,27.23
ICMP 18408,P. agathidicida,29.7,24.75
ICMP 18410,P. agathidicida,32.65,24.75
ICMP 18410,P. agathidicida,32.65,29.7
ICMP 18410,P. agathidicida,37.13,29.7
ICMP 18410,P. agathidicida,32.2,27.23
ICMP 18410,P. agathidicida,32.2,27.23
ICMP 18410,P. agathidicida,37.13,29.7
ICMP 18410,P. agathidicida,32.65,29.7
ICMP 18410,P. agathidicida,29.7,24.75
ICMP 18410,P. agathidicida,32.65,29.7
ICMP 18410,P. agathidicida,29.7,24.75
ICMP 18410,P. agathidicida,29.7,24.75
ICMP 18410,P. agathidicida,32.2,27.23
ICMP 18410,P. agathidicida,29.7,24.75
ICMP 18410,P. agathidicida,32.2,27.23
ICMP 18410,P. agathidicida,32.65,29.7
ICMP 18410,P. agathidicida,32.2,24.75
ICMP 18410,P. agathidicida,32.2,27.23
ICMP 18410,P. agathidicida,27.23,22.275
ICMP 18410,P. agathidicida,32.2,24.75
ICMP 18410,P. agathidicida,32.65,29.7
ICMP 16471,P. agathidicida,35,30
ICMP 16471,P. agathidicida,26.25,22.5
ICMP 16471,P. agathidicida,31.25,27.5
ICMP 16471,P. agathidicida,32.4,27.5
ICMP 16471,P. agathidicida,30,25
ICMP 16471,P. agathidicida,30,25
ICMP 16471,P. agathidicida,31.25,26.25
ICMP 16471,P. agathidicida,32.5,27.5
ICMP 16471,P. agathidicida,32.5,27.5
ICMP 16471,P. agathidicida,32.5,28.75
ICMP 16471,P. agathidicida,30,27.5
ICMP 16471,P. agathidicida,31.25,27.5
ICMP 16471,P. agathidicida,22.5,20
ICMP 16471,P. agathidicida,35,30
ICMP 16471,P. agathidicida,30,25
ICMP 16471,P. agathidicida,32.5,27.5
ICMP 16471,P. agathidicida,36.3,31.25
ICMP 16471,P. agathidicida,35,28.75
ICMP 16471,P. agathidicida,30,27.5
ICMP 16471,P. agathidicida,32.5,30
ICMP 18244,P. agathidicida,32.5,30
ICMP 18244,P. agathidicida,32.5,28.75
ICMP 18244,P. agathidicida,30,27.5
ICMP 18244,P. agathidicida,31.25,28.75
ICMP 18244,P. agathidicida,35,32.5
ICMP 18244,P. agathidicida,25,22.5
ICMP 18244,P. agathidicida,32.5,27.5
ICMP 18244,P. agathidicida,35,30
ICMP 18244,P. agathidicida,32.5,30
ICMP 18244,P. agathidicida,35,30
ICMP 18244,P. agathidicida,31.25,31.25
ICMP 18244,P. agathidicida,30,25
ICMP 18244,P. agathidicida,27.5,26.25
ICMP 18244,P. agathidicida,30,27.5
ICMP 18244,P. agathidicida,35,32.5
ICMP 18244,P. agathidicida,31.25,27.5
ICMP 18244,P. agathidicida,33.8,30
ICMP 18244,P. agathidicida,33.8,30
ICMP 18244,P. agathidicida,32.5,30
ICMP 18244,P. agathidicida,27.5,25
