isolate,species,temperature,value
ICMP 18404,P. agathidicida,17.5C,32
ICMP 18404,P. agathidicida,17.5C,33
ICMP 18404,P. agathidicida,17.5C,33
ICMP 18406,P. agathidicida,17.5C,29
ICMP 18406,P. agathidicida,17.5C,29
ICMP 18406,P. agathidicida,17.5C,29
ICMP 18406,P. agathidicida,17.5C,31
ICMP 18406,P. agathidicida,17.5C,32
ICMP 18406,P. agathidicida,17.5C,33
ICMP 18406,P. agathidicida,17.5C,33
ICMP 18406,P. agathidicida,17.5C,33
ICMP 18406,P. agathidicida,17.5C,30
ICMP 18406,P. agathidicida,17.5C,31
ICMP 18406,P. agathidicida,17.5C,31
ICMP 18406,P. agathidicida,17.5C,32
ICMP 18407,P. agathidicida,17.5C,29
ICMP 18407,P. agathidicida,17.5C,30
ICMP 18407,P. agathidicida,17.5C,30
ICMP 18407,P. agathidicida,17.5C,30
ICMP 18407,P. agathidicida,17.5C,29
ICMP 18407,P. agathidicida,17.5C,29
ICMP 18407,P. agathidicida,17.5C,29
ICMP 18407,P. agathidicida,17.5C,29
ICMP 18407,P. agathidicida,17.5C,30
ICMP 18407,P. agathidicida,17.5C,30
ICMP 18407,P. agathidicida,17.5C,33
ICMP 18407,P. agathidicida,17.5C,31
ICMP 18408,P. agathidicida,17.5C,30
ICMP 18408,P. agathidicida,17.5C,33
ICMP 18408,P. agathidicida,17.5C,34
ICMP 18408,P. agathidicida,17.5C,35
ICMP 18408,P. agathidicida,17.5C,30
ICMP 18408,P. agathidicida,17.5C,31
ICMP 18408,P. agathidicida,17.5C,32
ICMP 18408,P. agathidicida,17.5C,32
ICMP 18408,P. agathidicida,17.5C,32
ICMP 18408,P. agathidicida,17.5C,33
ICMP 18408,P. agathidicida,17.5C,33
ICMP 18408,P. agathidicida,17.5C,34
ICMP 18410,P. agathidicida,17.5C,32
ICMP 18410,P. agathidicida,17.5C,32
ICMP 18410,P. agathidicida,17.5C,34
ICMP 18410,P. agathidicida,17.5C,35
ICMP 18410,P. agathidicida,17.5C,33
ICMP 18410,P. agathidicida,17.5C,33
ICMP 18410,P. agathidicida,17.5C,34
ICMP 18410,P. agathidicida,17.5C,35
ICMP 18410,P. agathidicida,17.5C,33
ICMP 18410,P. agathidicida,17.5C,33
ICMP 18410,P. agathidicida,17.5C,34
ICMP 18410,P. agathidicida,17.5C,35
ICMP 18360,P. agathidicida,17.5C,34
ICMP 18360,P. agathidicida,17.5C,33
ICMP 18360,P. agathidicida,17.5C,33
ICMP 18360,P. agathidicida,17.5C,33
ICMP 18360,P. agathidicida,17.5C,32
ICMP 18360,P. agathidicida,17.5C,31
ICMP 18360,P. agathidicida,17.5C,31
ICMP 18360,P. agathidicida,17.5C,33
ICMP 18360,P. agathidicida,17.5C,32
ICMP 18360,P. agathidicida,17.5C,32
ICMP 18360,P. agathidicida,17.5C,34
ICMP 18360,P. agathidicida,17.5C,33
ICMP 19451,P. heveae,17.5C,20
ICMP 19451,P. heveae,17.5C,21
ICMP 19451,P. heveae,17.5C,21
ICMP 19451,P. heveae,17.5C,22
ICMP 19451,P. heveae,17.5C,23
ICMP 19451,P. heveae,17.5C,23
ICMP 19451,P. heveae,17.5C,24
ICMP 19451,P. heveae,17.5C,22
ICMP 19451,P. heveae,17.5C,21
ICMP 19451,P. heveae,17.5C,21
ICMP 19451,P. heveae,17.5C,23
ICMP 19451,P. heveae,17.5C,23
ICMP 19635,P. castaneae,17.5C,36
ICMP 19635,P. castaneae,17.5C,37
ICMP 19635,P. castaneae,17.5C,40
ICMP 19635,P. castaneae,17.5C,41
ICMP 19635,P. castaneae,17.5C,36
ICMP 19635,P. castaneae,17.5C,37
ICMP 19635,P. castaneae,17.5C,40
ICMP 19635,P. castaneae,17.5C,40
ICMP 19635,P. castaneae,17.5C,35
ICMP 19635,P. castaneae,17.5C,37
ICMP 19635,P. castaneae,17.5C,39
ICMP 19635,P. castaneae,17.5C,40
ICMP 17027,P. agathidicida,17.5C,41
ICMP 17027,P. agathidicida,17.5C,31
ICMP 17027,P. agathidicida,17.5C,28
ICMP 17027,P. agathidicida,17.5C,39
ICMP 17027,P. agathidicida,17.5C,39
ICMP 17027,P. agathidicida,17.5C,33
ICMP 17027,P. agathidicida,17.5C,32
ICMP 17027,P. agathidicida,17.5C,37
ICMP 17027,P. agathidicida,17.5C,39
ICMP 17027,P. agathidicida,17.5C,33
ICMP 17027,P. agathidicida,17.5C,31
ICMP 17027,P. agathidicida,17.5C,39
ICMP 16948,P. cocois,20C,32
ICMP 16948,P. cocois,20C,30
ICMP 16948,P. cocois,20C,30
ICMP 16948,P. cocois,20C,30
ICMP 16948,P. cocois,20C,30
ICMP 16948,P. cocois,20C,31
ICMP 16948,P. cocois,20C,31
ICMP 16948,P. cocois,20C,30
ICMP 16948,P. cocois,20C,31
ICMP 16948,P. cocois,20C,29
ICMP 16948,P. cocois,20C,30
ICMP 16948,P. cocois,20C,30
ICMP 16949,P. cocois,20C,33
ICMP 16949,P. cocois,20C,35
ICMP 16949,P. cocois,20C,35
ICMP 16949,P. cocois,20C,31
ICMP 16949,P. cocois,20C,30
ICMP 16949,P. cocois,20C,34
ICMP 16949,P. cocois,20C,37
ICMP 16949,P. cocois,20C,32
ICMP 16949,P. cocois,20C,33
ICMP 16949,P. cocois,20C,37
ICMP 16949,P. cocois,20C,34
ICMP 16949,P. cocois,20C,33
ICMP 19434,P. castaneae,20C,19
ICMP 19434,P. castaneae,20C,17
ICMP 19434,P. castaneae,20C,17
ICMP 19434,P. castaneae,20C,18
ICMP 19434,P. castaneae,20C,18
ICMP 19434,P. castaneae,20C,18
ICMP 19434,P. castaneae,20C,19
ICMP 19434,P. castaneae,20C,17
ICMP 19434,P. castaneae,20C,16
ICMP 19434,P. castaneae,20C,18
ICMP 19434,P. castaneae,20C,18
ICMP 19434,P. castaneae,20C,17
ICMP 18401,P. agathidicida,20C,29
ICMP 18401,P. agathidicida,20C,28
ICMP 18401,P. agathidicida,20C,36
ICMP 18401,P. agathidicida,20C,34
ICMP 18401,P. agathidicida,20C,32
ICMP 18401,P. agathidicida,20C,33
ICMP 18401,P. agathidicida,20C,33
ICMP 18401,P. agathidicida,20C,29
ICMP 18401,P. agathidicida,20C,31
ICMP 18401,P. agathidicida,20C,31
ICMP 18401,P. agathidicida,20C,36
ICMP 18401,P. agathidicida,20C,34
ICMP 18404,P. agathidicida,20C,31
ICMP 18404,P. agathidicida,20C,30
ICMP 18404,P. agathidicida,20C,37
ICMP 18404,P. agathidicida,20C,37
ICMP 18404,P. agathidicida,20C,33
ICMP 18404,P. agathidicida,20C,31
ICMP 18404,P. agathidicida,20C,36
ICMP 18404,P. agathidicida,20C,38
ICMP 18404,P. agathidicida,20C,32
ICMP 18404,P. agathidicida,20C,29
ICMP 18404,P. agathidicida,20C,37
ICMP 18404,P. agathidicida,20C,38
ICMP 18406,P. agathidicida,20C,33
ICMP 18406,P. agathidicida,20C,37
ICMP 18406,P. agathidicida,20C,33
ICMP 18406,P. agathidicida,20C,32
ICMP 18406,P. agathidicida,20C,32
ICMP 18406,P. agathidicida,20C,38
ICMP 18406,P. agathidicida,20C,37
ICMP 18406,P. agathidicida,20C,30
ICMP 18406,P. agathidicida,20C,31
ICMP 18406,P. agathidicida,20C,33
ICMP 18406,P. agathidicida,20C,38
ICMP 18406,P. agathidicida,20C,33
ICMP 18407,P. agathidicida,20C,32
ICMP 18407,P. agathidicida,20C,35
ICMP 18407,P. agathidicida,20C,36
ICMP 18407,P. agathidicida,20C,33
ICMP 18407,P. agathidicida,20C,35
ICMP 18407,P. agathidicida,20C,37
ICMP 18407,P. agathidicida,20C,32
ICMP 18407,P. agathidicida,20C,32
ICMP 18407,P. agathidicida,20C,33
ICMP 18407,P. agathidicida,20C,38
ICMP 18407,P. agathidicida,20C,34
ICMP 18407,P. agathidicida,20C,29
ICMP 18408,P. agathidicida,20C,27
ICMP 18408,P. agathidicida,20C,25
ICMP 18408,P. agathidicida,20C,26
ICMP 18408,P. agathidicida,20C,27
ICMP 18408,P. agathidicida,20C,26
ICMP 18408,P. agathidicida,20C,24
ICMP 18408,P. agathidicida,20C,24
ICMP 18408,P. agathidicida,20C,25
ICMP 18408,P. agathidicida,20C,25
ICMP 18408,P. agathidicida,20C,26
ICMP 18408,P. agathidicida,20C,25
ICMP 18408,P. agathidicida,20C,26
ICMP 18410,P. agathidicida,20C,25
ICMP 18410,P. agathidicida,20C,25
ICMP 18410,P. agathidicida,20C,24
ICMP 18410,P. agathidicida,20C,25
ICMP 18410,P. agathidicida,20C,27
ICMP 18410,P. agathidicida,20C,25
ICMP 18410,P. agathidicida,20C,25
ICMP 18410,P. agathidicida,20C,26
ICMP 18410,P. agathidicida,20C,26
ICMP 18410,P. agathidicida,20C,25
ICMP 18410,P. agathidicida,20C,26
ICMP 18410,P. agathidicida,20C,26
ICMP 18360,P. agathidicida,20C,30
ICMP 18360,P. agathidicida,20C,30
ICMP 18360,P. agathidicida,20C,31
ICMP 18360,P. agathidicida,20C,30
ICMP 18360,P. agathidicida,20C,28
ICMP 18360,P. agathidicida,20C,28
ICMP 18360,P. agathidicida,20C,29
ICMP 18360,P. agathidicida,20C,29
ICMP 18360,P. agathidicida,20C,27
ICMP 18360,P. agathidicida,20C,27
ICMP 18360,P. agathidicida,20C,28
ICMP 18360,P. agathidicida,20C,29
ICMP 19451,P. heveae,20C,28
ICMP 19451,P. heveae,20C,29
ICMP 19451,P. heveae,20C,29
ICMP 19451,P. heveae,20C,28
ICMP 19451,P. heveae,20C,28
ICMP 19451,P. heveae,20C,28
ICMP 19451,P. heveae,20C,31
ICMP 19451,P. heveae,20C,28
ICMP 19451,P. heveae,20C,28
ICMP 19451,P. heveae,20C,26
ICMP 19451,P. heveae,20C,29
ICMP 19451,P. heveae,20C,28
ICMP 19635,P. castaneae,20C,35
ICMP 19635,P. castaneae,20C,33
ICMP 19635,P. castaneae,20C,34
ICMP 19635,P. castaneae,20C,42
ICMP 19635,P. castaneae,20C,33
ICMP 19635,P. castaneae,20C,42
ICMP 19635,P. castaneae,20C,40
ICMP 19635,P. castaneae,20C,33
ICMP 19635,P. castaneae,20C,34
ICMP 19635,P. castaneae,20C,33
ICMP 19635,P. castaneae,20C,40
ICMP 19635,P. castaneae,20C,41
ICMP 17027,P. agathidicida,20C,31
ICMP 17027,P. agathidicida,20C,34
ICMP 17027,P. agathidicida,20C,33
ICMP 17027,P. agathidicida,20C,38
ICMP 17027,P. agathidicida,20C,37
ICMP 17027,P. agathidicida,20C,34
ICMP 17027,P. agathidicida,20C,35
ICMP 17027,P. agathidicida,20C,38
ICMP 17027,P. agathidicida,20C,40
ICMP 17027,P. agathidicida,20C,36
ICMP 17027,P. agathidicida,20C,31
ICMP 17027,P. agathidicida,20C,35
ICMP 16948,P. cocois,22.5C,34
ICMP 16948,P. cocois,22.5C,34
ICMP 16948,P. cocois,22.5C,35
ICMP 16948,P. cocois,22.5C,34
ICMP 16948,P. cocois,22.5C,35
ICMP 16948,P. cocois,22.5C,31
ICMP 16948,P. cocois,22.5C,33
ICMP 16948,P. cocois,22.5C,36
ICMP 16948,P. cocois,22.5C,33
ICMP 16948,P. cocois,22.5C,33
ICMP 16948,P. cocois,22.5C,35
ICMP 16948,P. cocois,22.5C,34
ICMP 16949,P. cocois,22.5C,37
ICMP 16949,P. cocois,22.5C,35
ICMP 16949,P. cocois,22.5C,36
ICMP 16949,P. cocois,22.5C,37
ICMP 16949,P. cocois,22.5C,35
ICMP 16949,P. cocois,22.5C,37
ICMP 16949,P. cocois,22.5C,35
ICMP 16949,P. cocois,22.5C,35
ICMP 16949,P. cocois,22.5C,36
ICMP 16949,P. cocois,22.5C,36
ICMP 16949,P. cocois,22.5C,35
ICMP 16949,P. cocois,22.5C,35
ICMP 19434,P. castaneae,22.5C,30
ICMP 19434,P. castaneae,22.5C,30
ICMP 19434,P. castaneae,22.5C,29
ICMP 19434,P. castaneae,22.5C,28
ICMP 19434,P. castaneae,22.5C,26
ICMP 19434,P. castaneae,22.5C,27
ICMP 19434,P. castaneae,22.5C,28
ICMP 19434,P. castaneae,22.5C,28
ICMP 19434,P. castaneae,22.5C,27
ICMP 19434,P. castaneae,22.5C,26
ICMP 19434,P. castaneae,22.5C,26
ICMP 19434,P. castaneae,22.5C,26
ICMP 18401,P. agathidicida,22.5C,34
ICMP 18401,P. agathidicida,22.5C,37
ICMP 18401,P. agathidicida,22.5C,39
ICMP 18401,P. agathidicida,22.5C,36
ICMP 18401,P. agathidicida,22.5C,34
ICMP 18401,P. agathidicida,22.5C,37
ICMP 18401,P. agathidicida,22.5C,39
ICMP 18401,P. agathidicida,22.5C,36
ICMP 18401,P. agathidicida,22.5C,36
ICMP 18401,P. agathidicida,22.5C,38
ICMP 18401,P. agathidicida,22.5C,37
ICMP 18401,P. agathidicida,22.5C,35
ICMP 18404,P. agathidicida,22.5C,36
ICMP 18404,P. agathidicida,22.5C,34
ICMP 18404,P. agathidicida,22.5C,37
ICMP 18404,P. agathidicida,22.5C,38
ICMP 18404,P. agathidicida,22.5C,38
ICMP 18404,P. agathidicida,22.5C,37
ICMP 18404,P. agathidicida,22.5C,35
ICMP 18404,P. agathidicida,22.5C,37
ICMP 18404,P. agathidicida,22.5C,39
ICMP 18404,P. agathidicida,22.5C,36
ICMP 18404,P. agathidicida,22.5C,34
ICMP 18404,P. agathidicida,22.5C,37
ICMP 18406,P. agathidicida,22.5C,36
ICMP 18406,P. agathidicida,22.5C,36
ICMP 18406,P. agathidicida,22.5C,38
ICMP 18406,P. agathidicida,22.5C,37
ICMP 18406,P. agathidicida,22.5C,36
ICMP 18406,P. agathidicida,22.5C,39
ICMP 18406,P. agathidicida,22.5C,37
ICMP 18406,P. agathidicida,22.5C,34
ICMP 18406,P. agathidicida,22.5C,37
ICMP 18406,P. agathidicida,22.5C,38
ICMP 18406,P. agathidicida,22.5C,36
ICMP 18406,P. agathidicida,22.5C,34
ICMP 18407,P. agathidicida,22.5C,38
ICMP 18407,P. agathidicida,22.5C,37
ICMP 18407,P. agathidicida,22.5C,36
ICMP 18407,P. agathidicida,22.5C,36
ICMP 18407,P. agathidicida,22.5C,38
ICMP 18407,P. agathidicida,22.5C,37
ICMP 18407,P. agathidicida,22.5C,35
ICMP 18407,P. agathidicida,22.5C,37
ICMP 18407,P. agathidicida,22.5C,36
ICMP 18407,P. agathidicida,22.5C,38
ICMP 18407,P. agathidicida,22.5C,37
ICMP 18407,P. agathidicida,22.5C,36
ICMP 18408,P. agathidicida,22.5C,37
ICMP 18408,P. agathidicida,22.5C,33
ICMP 18408,P. agathidicida,22.5C,34
ICMP 18408,P. agathidicida,22.5C,36
ICMP 18408,P. agathidicida,22.5C,32
ICMP 18408,P. agathidicida,22.5C,33
ICMP 18408,P. agathidicida,22.5C,35
ICMP 18408,P. agathidicida,22.5C,35
ICMP 18408,P. agathidicida,22.5C,37
ICMP 18408,P. agathidicida,22.5C,35
ICMP 18408,P. agathidicida,22.5C,34
ICMP 18408,P. agathidicida,22.5C,37
ICMP 18410,P. agathidicida,22.5C,36
ICMP 18410,P. agathidicida,22.5C,36
ICMP 18410,P. agathidicida,22.5C,37
ICMP 18410,P. agathidicida,22.5C,37
ICMP 18410,P. agathidicida,22.5C,37
ICMP 18410,P. agathidicida,22.5C,36
ICMP 18410,P. agathidicida,22.5C,36
ICMP 18410,P. agathidicida,22.5C,36
ICMP 18410,P. agathidicida,22.5C,36
ICMP 18410,P. agathidicida,22.5C,38
ICMP 18410,P. agathidicida,22.5C,37
ICMP 18410,P. agathidicida,22.5C,35
ICMP 18360,P. agathidicida,22.5C,35
ICMP 18360,P. agathidicida,22.5C,37
ICMP 18360,P. agathidicida,22.5C,36
ICMP 18360,P. agathidicida,22.5C,36
ICMP 18360,P. agathidicida,22.5C,38
ICMP 18360,P. agathidicida,22.5C,38
ICMP 18360,P. agathidicida,22.5C,35
ICMP 18360,P. agathidicida,22.5C,34
ICMP 18360,P. agathidicida,22.5C,35
ICMP 18360,P. agathidicida,22.5C,39
ICMP 18360,P. agathidicida,22.5C,38
ICMP 18360,P. agathidicida,22.5C,33
ICMP 19451,P. heveae,22.5C,33
ICMP 19451,P. heveae,22.5C,34
ICMP 19451,P. heveae,22.5C,38
ICMP 19451,P. heveae,22.5C,37
ICMP 19451,P. heveae,22.5C,34
ICMP 19451,P. heveae,22.5C,34
ICMP 19451,P. heveae,22.5C,31
ICMP 19451,P. heveae,22.5C,33
ICMP 19451,P. heveae,22.5C,34
ICMP 19451,P. heveae,22.5C,36
ICMP 19451,P. heveae,22.5C,38
ICMP 19451,P. heveae,22.5C,38
ICMP 19635,P. castaneae,22.5C,38
ICMP 19635,P. castaneae,22.5C,40
ICMP 19635,P. castaneae,22.5C,38
ICMP 19635,P. castaneae,22.5C,36
ICMP 19635,P. castaneae,22.5C,41
ICMP 19635,P. castaneae,22.5C,38
ICMP 19635,P. castaneae,22.5C,35
ICMP 19635,P. castaneae,22.5C,39
ICMP 19635,P. castaneae,22.5C,40
ICMP 19635,P. castaneae,22.5C,40
ICMP 19635,P. castaneae,22.5C,35
ICMP 19635,P. castaneae,22.5C,35
ICMP 17027,P. agathidicida,22.5C,35
ICMP 17027,P. agathidicida,22.5C,37
ICMP 17027,P. agathidicida,22.5C,40
ICMP 17027,P. agathidicida,22.5C,42
ICMP 17027,P. agathidicida,22.5C,35
ICMP 17027,P. agathidicida,22.5C,36
ICMP 17027,P. agathidicida,22.5C,41
ICMP 17027,P. agathidicida,22.5C,42
ICMP 17027,P. agathidicida,22.5C,33
ICMP 17027,P. agathidicida,22.5C,37
ICMP 17027,P. agathidicida,22.5C,41
ICMP 17027,P. agathidicida,22.5C,44
ICMP 16948,P. cocois,25C,30
ICMP 16948,P. cocois,25C,30
ICMP 16948,P. cocois,25C,32
ICMP 16948,P. cocois,25C,33
ICMP 16948,P. cocois,25C,31
ICMP 16948,P. cocois,25C,32
ICMP 16948,P. cocois,25C,33
ICMP 16948,P. cocois,25C,34
ICMP 16948,P. cocois,25C,31
ICMP 16948,P. cocois,25C,32
ICMP 16948,P. cocois,25C,33
ICMP 16948,P. cocois,25C,34
ICMP 16949,P. cocois,25C,32
ICMP 16949,P. cocois,25C,33
ICMP 16949,P. cocois,25C,35
ICMP 16949,P. cocois,25C,35
ICMP 16949,P. cocois,25C,32
ICMP 16949,P. cocois,25C,33
ICMP 16949,P. cocois,25C,35
ICMP 16949,P. cocois,25C,36
ICMP 16949,P. cocois,25C,32
ICMP 16949,P. cocois,25C,30
ICMP 16949,P. cocois,25C,35
ICMP 16949,P. cocois,25C,38
ICMP 19434,P. castaneae,25C,26
ICMP 19434,P. castaneae,25C,26
ICMP 19434,P. castaneae,25C,26
ICMP 19434,P. castaneae,25C,27
ICMP 19434,P. castaneae,25C,26
ICMP 19434,P. castaneae,25C,26
ICMP 19434,P. castaneae,25C,27
ICMP 19434,P. castaneae,25C,28
ICMP 19434,P. castaneae,25C,24
ICMP 19434,P. castaneae,25C,24
ICMP 19434,P. castaneae,25C,24
ICMP 19434,P. castaneae,25C,26
ICMP 18401,P. agathidicida,25C,33
ICMP 18401,P. agathidicida,25C,34
ICMP 18401,P. agathidicida,25C,36
ICMP 18401,P. agathidicida,25C,39
ICMP 18401,P. agathidicida,25C,33
ICMP 18401,P. agathidicida,25C,33
ICMP 18401,P. agathidicida,25C,37
ICMP 18401,P. agathidicida,25C,38
ICMP 18401,P. agathidicida,25C,34
ICMP 18401,P. agathidicida,25C,34
ICMP 18401,P. agathidicida,25C,37
ICMP 18401,P. agathidicida,25C,37
ICMP 18404,P. agathidicida,25C,34
ICMP 18404,P. agathidicida,25C,35
ICMP 18404,P. agathidicida,25C,37
ICMP 18404,P. agathidicida,25C,38
ICMP 18404,P. agathidicida,25C,34
ICMP 18404,P. agathidicida,25C,34
ICMP 18404,P. agathidicida,25C,37
ICMP 18404,P. agathidicida,25C,38
ICMP 18404,P. agathidicida,25C,32
ICMP 18404,P. agathidicida,25C,34
ICMP 18404,P. agathidicida,25C,38
ICMP 18404,P. agathidicida,25C,39
ICMP 18406,P. agathidicida,25C,33
ICMP 18406,P. agathidicida,25C,34
ICMP 18406,P. agathidicida,25C,38
ICMP 18406,P. agathidicida,25C,39
ICMP 18406,P. agathidicida,25C,33
ICMP 18406,P. agathidicida,25C,34
ICMP 18406,P. agathidicida,25C,38
ICMP 18406,P. agathidicida,25C,39
ICMP 18406,P. agathidicida,25C,33
ICMP 18406,P. agathidicida,25C,34
ICMP 18406,P. agathidicida,25C,39
ICMP 18406,P. agathidicida,25C,39
ICMP 18407,P. agathidicida,25C,32
ICMP 18407,P. agathidicida,25C,33
ICMP 18407,P. agathidicida,25C,37
ICMP 18407,P. agathidicida,25C,38
ICMP 18407,P. agathidicida,25C,33
ICMP 18407,P. agathidicida,25C,33
ICMP 18407,P. agathidicida,25C,35
ICMP 18407,P. agathidicida,25C,37
ICMP 18407,P. agathidicida,25C,32
ICMP 18407,P. agathidicida,25C,33
ICMP 18407,P. agathidicida,25C,35
ICMP 18407,P. agathidicida,25C,39
ICMP 18408,P. agathidicida,25C,34
ICMP 18408,P. agathidicida,25C,35
ICMP 18408,P. agathidicida,25C,37
ICMP 18408,P. agathidicida,25C,40
ICMP 18408,P. agathidicida,25C,34
ICMP 18408,P. agathidicida,25C,34
ICMP 18408,P. agathidicida,25C,36
ICMP 18408,P. agathidicida,25C,36
ICMP 18408,P. agathidicida,25C,33
ICMP 18408,P. agathidicida,25C,33
ICMP 18408,P. agathidicida,25C,38
ICMP 18408,P. agathidicida,25C,38
ICMP 18410,P. agathidicida,25C,33
ICMP 18410,P. agathidicida,25C,33
ICMP 18410,P. agathidicida,25C,38
ICMP 18410,P. agathidicida,25C,38
ICMP 18410,P. agathidicida,25C,32
ICMP 18410,P. agathidicida,25C,35
ICMP 18410,P. agathidicida,25C,37
ICMP 18410,P. agathidicida,25C,38
ICMP 18410,P. agathidicida,25C,34
ICMP 18410,P. agathidicida,25C,36
ICMP 18410,P. agathidicida,25C,36
ICMP 18410,P. agathidicida,25C,38
ICMP 18360,P. agathidicida,25C,33
ICMP 18360,P. agathidicida,25C,34
ICMP 18360,P. agathidicida,25C,37
ICMP 18360,P. agathidicida,25C,38
ICMP 18360,P. agathidicida,25C,33
ICMP 18360,P. agathidicida,25C,34
ICMP 18360,P. agathidicida,25C,38
ICMP 18360,P. agathidicida,25C,38
ICMP 18360,P. agathidicida,25C,34
ICMP 18360,P. agathidicida,25C,34
ICMP 18360,P. agathidicida,25C,38
ICMP 18360,P. agathidicida,25C,38
ICMP 19451,P. heveae,25C,33
ICMP 19451,P. heveae,25C,35
ICMP 19451,P. heveae,25C,35
ICMP 19451,P. heveae,25C,38
ICMP 19451,P. heveae,25C,32
ICMP 19451,P. heveae,25C,33
ICMP 19451,P. heveae,25C,34
ICMP 19451,P. heveae,25C,36
ICMP 19451,P. heveae,25C,32
ICMP 19451,P. heveae,25C,34
ICMP 19451,P. heveae,25C,37
ICMP 19451,P. heveae,25C,40
ICMP 19635,P. castaneae,25C,35
ICMP 19635,P. castaneae,25C,36
ICMP 19635,P. castaneae,25C,37
ICMP 19635,P. castaneae,25C,37
ICMP 19635,P. castaneae,25C,35
ICMP 19635,P. castaneae,25C,35
ICMP 19635,P. castaneae,25C,38
ICMP 19635,P. castaneae,25C,38
ICMP 19635,P. castaneae,25C,35
ICMP 19635,P. castaneae,25C,35
ICMP 19635,P. castaneae,25C,38
ICMP 19635,P. castaneae,25C,38
ICMP 17027,P. agathidicida,25C,40
ICMP 17027,P. agathidicida,25C,35
ICMP 17027,P. agathidicida,25C,34
ICMP 17027,P. agathidicida,25C,38
ICMP 17027,P. agathidicida,25C,40
ICMP 17027,P. agathidicida,25C,36
ICMP 17027,P. agathidicida,25C,36
ICMP 17027,P. agathidicida,25C,39
ICMP 17027,P. agathidicida,25C,40
ICMP 17027,P. agathidicida,25C,36
ICMP 17027,P. agathidicida,25C,35
ICMP 17027,P. agathidicida,25C,39
ICMP 16948,P. cocois,30C,0
ICMP 16948,P. cocois,30C,0
ICMP 16948,P. cocois,30C,0
ICMP 16948,P. cocois,30C,1
ICMP 16948,P. cocois,30C,0
ICMP 16948,P. cocois,30C,0
ICMP 16948,P. cocois,30C,0
ICMP 16948,P. cocois,30C,1
ICMP 16948,P. cocois,30C,0
ICMP 16948,P. cocois,30C,0
ICMP 16948,P. cocois,30C,1
ICMP 16948,P. cocois,30C,1
ICMP 16949,P. cocois,30C,1
ICMP 16949,P. cocois,30C,1
ICMP 16949,P. cocois,30C,1
ICMP 16949,P. cocois,30C,1
ICMP 16949,P. cocois,30C,2
ICMP 16949,P. cocois,30C,2
ICMP 16949,P. cocois,30C,2
ICMP 16949,P. cocois,30C,2
ICMP 16949,P. cocois,30C,2
ICMP 16949,P. cocois,30C,2
ICMP 16949,P. cocois,30C,2
ICMP 16949,P. cocois,30C,2
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 19434,P. castaneae,30C,0
ICMP 18401,P. agathidicida,30C,0
ICMP 18401,P. agathidicida,30C,0
ICMP 18401,P. agathidicida,30C,1
ICMP 18401,P. agathidicida,30C,1
ICMP 18401,P. agathidicida,30C,0
ICMP 18401,P. agathidicida,30C,0
ICMP 18401,P. agathidicida,30C,0
ICMP 18401,P. agathidicida,30C,0
ICMP 18401,P. agathidicida,30C,0
ICMP 18401,P. agathidicida,30C,0
ICMP 18401,P. agathidicida,30C,1
ICMP 18401,P. agathidicida,30C,1
ICMP 18404,P. agathidicida,30C,1
ICMP 18404,P. agathidicida,30C,1
ICMP 18404,P. agathidicida,30C,0
ICMP 18404,P. agathidicida,30C,0
ICMP 18404,P. agathidicida,30C,0
ICMP 18404,P. agathidicida,30C,0
ICMP 18404,P. agathidicida,30C,0
ICMP 18404,P. agathidicida,30C,1
ICMP 18404,P. agathidicida,30C,0
ICMP 18404,P. agathidicida,30C,0
ICMP 18404,P. agathidicida,30C,0
ICMP 18404,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18406,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18407,P. agathidicida,30C,0
ICMP 18408,P. agathidicida,30C,1
ICMP 18408,P. agathidicida,30C,1
ICMP 18408,P. agathidicida,30C,1
ICMP 18408,P. agathidicida,30C,1
ICMP 18408,P. agathidicida,30C,0
ICMP 18408,P. agathidicida,30C,0
ICMP 18408,P. agathidicida,30C,1
ICMP 18408,P. agathidicida,30C,1
ICMP 18408,P. agathidicida,30C,1
